Method,Cluster,NumTraces,Precision,Fitness,FScore,VariabilityRatio,Miner
HDBSCAN-TFIDF,Cluster 735,3,0.7071651090342679,1.0,0.8284671532846715,1.0,inductive
HDBSCAN-TFIDF,Cluster 736,10,0.8075313807531381,0.9923371647509579,0.8904465860306037,1.0,inductive
HDBSCAN-TFIDF,Cluster 737,4,0.10037684138403558,1.0,0.1824408468244084,1.0,inductive
HDBSCAN-TFIDF,Cluster 738,5,0.046245733788395915,0.9768028846153847,0.0883104973762474,1.0,inductive
HDBSCAN-TFIDF,Cluster 739,3,0.31383737517831667,1.0,0.47774158523344185,1.0,inductive
HDBSCAN-TFIDF,Cluster 740,2,0.20459290187891443,1.0,0.3396880415944541,1.0,inductive
HDBSCAN-TFIDF,Cluster 741,5,0.431129476584022,0.9931659213392959,0.6012560378309267,1.0,inductive
HDBSCAN-TFIDF,Cluster 742,4,0.039396821084091815,0.9570251265284185,0.07567827620248828,1.0,inductive
HDBSCAN-TFIDF,Cluster 743,8,0.543424317617866,0.9913419913419913,0.7020213331840197,1.0,inductive
HDBSCAN-TFIDF,Cluster 744,3,0.051724137931034475,1.0,0.0983606557377049,1.0,inductive
HDBSCAN-TFIDF,Cluster 745,2,0.21867881548974943,1.0,0.3588785046728972,1.0,inductive
HDBSCAN-TFIDF,Cluster 746,2,0.034324942791762014,1.0,0.06637168141592921,1.0,inductive
HDBSCAN-TFIDF,Cluster 747,2,0.11001964636542239,1.0,0.1982300884955752,1.0,inductive
HDBSCAN-TFIDF,Cluster 748,3,0.07301331181928195,1.0,0.13609022556390973,1.0,inductive
HDBSCAN-TFIDF,Cluster 749,3,0.6655948553054662,1.0,0.7992277992277992,1.0,inductive
HDBSCAN-TFIDF,Cluster 750,3,0.0370106761565836,1.0,0.07137954701441312,1.0,inductive
HDBSCAN-TFIDF,Cluster 751,5,0.9633802816901409,1.0,0.9813486370157819,1.0,inductive
HDBSCAN-TFIDF,Cluster 752,9,0.5570291777188329,1.0,0.715502555366269,1.0,inductive
HDBSCAN-TFIDF,Cluster 753,2,0.912751677852349,1.0,0.9543859649122807,1.0,inductive
HDBSCAN-TFIDF,Cluster 754,2,0.858974358974359,1.0,0.9241379310344828,1.0,inductive
HDBSCAN-TFIDF,Cluster 755,5,0.4059278350515464,0.997979797979798,0.5771145754716106,1.0,inductive
HDBSCAN-TFIDF,Cluster 756,2,0.631336405529954,1.0,0.7740112994350283,1.0,inductive
HDBSCAN-TFIDF,Cluster 757,4,0.3936781609195402,1.0,0.5649484536082474,1.0,inductive
HDBSCAN-TFIDF,Cluster 758,2,0.6979166666666667,1.0,0.8220858895705522,1.0,inductive
HDBSCAN-TFIDF,Cluster 759,8,0.6925996204933587,0.9742877026279646,0.8096423600221481,1.0,inductive
HDBSCAN-TFIDF,Cluster 760,2,0.5555555555555556,1.0,0.7142857142857143,1.0,inductive
HDBSCAN-TFIDF,Cluster 761,4,0.6355140186915889,1.0,0.7771428571428572,0.75,inductive
HDBSCAN-TFIDF,Cluster 762,7,0.6901669758812616,0.9843954641283208,0.8114325561306467,1.0,inductive
HDBSCAN-TFIDF,Cluster 763,4,0.04344440984117093,1.0,0.0832711535591702,1.0,inductive
HDBSCAN-TFIDF,Cluster 764,4,0.9019607843137255,1.0,0.9484536082474228,0.75,inductive
HDBSCAN-TFIDF,Cluster 765,3,0.04542032622333747,0.9973753280839895,0.0868839692255414,1.0,inductive
HDBSCAN-TFIDF,Cluster 766,2,0.8670886075949367,1.0,0.9288135593220339,1.0,inductive
HDBSCAN-TFIDF,Cluster 767,4,0.4108761329305136,1.0,0.582441113490364,1.0,inductive
HDBSCAN-TFIDF,Cluster 768,5,0.03579072532699168,0.9904635527246992,0.06908504007265248,1.0,inductive
HDBSCAN-TFIDF,Cluster 769,8,0.6946959896507114,0.9954476479514416,0.8183132765215089,1.0,inductive
HDBSCAN-TFIDF,Cluster 770,4,0.058073654390934815,1.0,0.10977242302543502,1.0,inductive
HDBSCAN-TFIDF,Cluster 771,2,0.7692307692307692,1.0,0.8695652173913043,1.0,inductive
HDBSCAN-TFIDF,Cluster 772,8,0.29469790382244143,0.9804833773959964,0.45318481428030244,1.0,inductive
HDBSCAN-TFIDF,Cluster 773,3,0.04773699617203331,1.0,0.09112400601762301,1.0,inductive
HDBSCAN-TFIDF,Cluster 774,4,0.9710144927536232,1.0,0.9852941176470589,0.25,inductive
HDBSCAN-TFIDF,Cluster 775,2,0.9710144927536232,1.0,0.9852941176470589,0.5,inductive
HDBSCAN-TFIDF,Cluster 776,2,0.912751677852349,1.0,0.9543859649122807,1.0,inductive
HDBSCAN-TFIDF,Cluster 777,4,0.8081395348837209,1.0,0.8938906752411575,1.0,inductive
HDBSCAN-TFIDF,Cluster 778,2,0.8580645161290322,1.0,0.9236111111111112,1.0,inductive
HDBSCAN-TFIDF,Cluster 779,4,0.8789808917197452,1.0,0.9355932203389831,0.75,inductive
HDBSCAN-TFIDF,Cluster 780,2,0.8,1.0,0.888888888888889,1.0,inductive
HDBSCAN-TFIDF,Cluster 781,12,0.7923566878980892,0.9801246765026503,0.8762950719805065,1.0,inductive
HDBSCAN-TFIDF,Cluster 782,2,0.06196291270918142,1.0,0.11669505962521304,1.0,inductive
HDBSCAN-TFIDF,Cluster 783,3,0.4365591397849462,1.0,0.6077844311377245,1.0,inductive
HDBSCAN-TFIDF,Cluster 784,3,0.23423423423423428,1.0,0.37956204379562053,1.0,inductive
HDBSCAN-TFIDF,Cluster 785,7,0.7175141242937852,0.9927404718693285,0.8329816062735317,0.8571428571428571,inductive
HDBSCAN-TFIDF,Cluster 786,4,0.4749568221070811,1.0,0.6440281030444964,1.0,inductive
